pwp_key,pwp_className,pwp_WorkflowName,pwp_WFStateName,pwp_displayName,pwp_libraryId1,pwp_type1,pwp_role1,pwp_value1,pwp_libraryId2,pwp_type2,pwp_role2,pwp_value2,pwp_equal_perms
Strategic Asset SpecificationStrategic Asset SpecificationMaintenance Instruction,Strategic Asset Specification,Strategic Asset Specification,Maintenance Instruction,,Pu5DR2x6C1SasBULr8,NOTVISIBLE,NOPERMISSION,,,,,,False
TechnicalTechnicalIdleReaders,Technical,Technical,Idle,Readers,PtwsrnX2Sis0TpQPnB,ROLE,READER,READERS,,,,,False
TechnicalTechnicalIdleAO Technical,Technical,Technical,Idle,AO Technical,PtwsrnX2Sis0TpQPnB,GROUP,WRITER,ao-technical@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-technical@snowyhydro.com.au,True
TechnicalTechnicalConfidentialAO Operations Senior Mgrs,Technical,Technical,Confidential,AO Operations Senior Mgrs,PtwsrnX2Sis0TpQPnB,GROUP,WRITER,ao-opseniormgrs@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-opseniormgrs@snowyhydro.com.au,True
TechnicalTechnicalProtectionReaders,Technical,Technical,Protection,Readers,PtwsrnX2Sis0TpQPnB,ROLE,READER,READERS,,,,,False
TechnicalTechnicalProtectionAO AME Asset Technology,Technical,Technical,Protection,AO AME Asset Technology,PtwsrnX2Sis0TpQPnB,GROUP,WRITER,ao-ameassettechnology@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-ameassettechnology@snowyhydro.com.au,True
TechnicalTechnicalCompetency DevelopmentReaders,Technical,Technical,Competency Development,Readers,PtwsrnX2Sis0TpQPnB,ROLE,READER,READERS,,,,,False
TechnicalTechnicalCompetency DevelopmentAO Competency,Technical,Technical,Competency Development,AO Competency,PtwsrnX2Sis0TpQPnB,GROUP,WRITER,aocompetency@snowyhydro.com.au,,,,,False
TechnicalTechnicalCompetency - Assessment AnswersAdam Robinson,Technical,Technical,Competency - Assessment Answers,Adam Robinson,PtwsrnX2Sis0TpQPnB,USER,READER,adam.robinson@snowyhydro.com.au,,,,,False
TechnicalTechnicalCompetency - Assessment AnswersAO Production Leaders,Technical,Technical,Competency - Assessment Answers,AO Production Leaders,PtwsrnX2Sis0TpQPnB,GROUP,READER,ao-prodleaders@snowyhydro.com.au,,,,,False
TechnicalTechnicalCompetency - Assessment AnswersAO Production TL,Technical,Technical,Competency - Assessment Answers,AO Production TL,PtwsrnX2Sis0TpQPnB,GROUP,READER,ao-productiontl@snowyhydro.com.au,,,,,False
TechnicalTechnicalCompetency - Assessment AnswersAO Production Mgrs,Technical,Technical,Competency - Assessment Answers,AO Production Mgrs,PtwsrnX2Sis0TpQPnB,GROUP,READER,ao-prodmgrs@snowyhydro.com.au,,,,,False
TechnicalTechnicalCompetency - Assessment AnswersAO Competency,Technical,Technical,Competency - Assessment Answers,AO Competency,PtwsrnX2Sis0TpQPnB,GROUP,WRITER,aocompetency@snowyhydro.com.au,,,,,False
TechnicalTechnicalCompetency - Assessment FilesReaders,Technical,Technical,Competency - Assessment Files,Readers,PtwsrnX2Sis0TpQPnB,ROLE,READER,READERS,,,,,False
TechnicalTechnicalCompetency - Assessment FilesAO Competency,Technical,Technical,Competency - Assessment Files,AO Competency,PtwsrnX2Sis0TpQPnB,GROUP,WRITER,aocompetency@snowyhydro.com.au,,,,,False
TechnicalTechnicalCompetency - Undertaking AssessmentAO All Snowy Hydro,Technical,Technical,Competency - Undertaking Assessment,AO All Snowy Hydro,PtwsrnX2Sis0TpQPnB,GROUP,READER,ao-allsnowyhydro@snowyhydro.com.au,,,,,False
TechnicalTechnicalCompetency - Undertaking AssessmentCompetencies Assessee,Technical,Technical,Competency - Undertaking Assessment,Competencies Assessee,PtwsrnX2Sis0TpQPnB,ROLE,WRITER,Qxua48x0OMfphxOLDV,,,,,False
TechnicalTechnicalCompetency - Theory Submitted for Marking,Technical,Technical,Competency - Theory Submitted for Marking,,PtwsrnX2Sis0TpQPnB,NOTVISIBLE,NOPERMISSION,,,,,,False
TechnicalTechnical[Theory Passed],Technical,Technical,[Theory Passed],,PtwsrnX2Sis0TpQPnB,NOTVISIBLE,NOPERMISSION,,,,,,False
TechnicalTechnical[Theory Failed],Technical,Technical,[Theory Failed],,PtwsrnX2Sis0TpQPnB,NOTVISIBLE,NOPERMISSION,,,,,,False
TechnicalTechnicalCompetency - Awaiting Practical Assessment,Technical,Technical,Competency - Awaiting Practical Assessment,,PtwsrnX2Sis0TpQPnB,NOTVISIBLE,NOPERMISSION,,,,,,False
TechnicalTechnicalCompetency - Completed Assessment,Technical,Technical,Competency - Completed Assessment,,PtwsrnX2Sis0TpQPnB,NOTVISIBLE,NOPERMISSION,,,,,,False
TechnicalTechnicalApprentice DevelopmentReaders,Technical,Technical,Apprentice Development,Readers,PtwsrnX2Sis0TpQPnB,ROLE,READER,READERS,,,,,False
TechnicalTechnicalApprentice DevelopmentAO Apprentice Mgt,Technical,Technical,Apprentice Development,AO Apprentice Mgt,PtwsrnX2Sis0TpQPnB,GROUP,WRITER,ao-apprenticemgt@snowyhydro.com.au,,,,,False
TechnicalTechnicalUNAUTHORISED - HV Test ProcedureReaders,Technical,Technical,UNAUTHORISED - HV Test Procedure,Readers,PtwsrnX2Sis0TpQPnB,ROLE,READER,READERS,,,,,False
TechnicalTechnicalUNAUTHORISED - HV Test ProcedureAO HV Test Officers,Technical,Technical,UNAUTHORISED - HV Test Procedure,AO HV Test Officers,PtwsrnX2Sis0TpQPnB,GROUP,WRITER,ao-hvtestoff@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-hvtestoff@snowyhydro.com.au,True
TechnicalTechnicalUNAUTHORISED - HV Test ProcedureAO HV Technical Specialists,Technical,Technical,UNAUTHORISED - HV Test Procedure,AO HV Technical Specialists,PtwsrnX2Sis0TpQPnB,GROUP,WRITER,ao-hvtechspecialists@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-hvtechspecialists@snowyhydro.com.au,True
TechnicalTechnicalUNAUTHORISED - HV Test ProcedureAO HV Test Engineers,Technical,Technical,UNAUTHORISED - HV Test Procedure,AO HV Test Engineers,PtwsrnX2Sis0TpQPnB,GROUP,WRITER,ao-hvtestengineers@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-hvtestengineers@snowyhydro.com.au,True
TechnicalTechnicalUNAUTHORISED - HV Test ProcedureHV Testing Group,Technical,Technical,UNAUTHORISED - HV Test Procedure,HV Testing Group,PtwsrnX2Sis0TpQPnB,ROLE,WRITER,QVWaOz2z5egpNVpiWe,Pi6VQAw4szhUcyHGpy,ROLE,WRITER,SEqM3y469hSUjSuE7m,False
TechnicalTechnicalUNAUTHORISED - Pending ReviewAO HV Test Officers,Technical,Technical,UNAUTHORISED - Pending Review,AO HV Test Officers,PtwsrnX2Sis0TpQPnB,GROUP,WRITER,ao-hvtestoff@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-hvtestoff@snowyhydro.com.au,True
TechnicalTechnicalUNAUTHORISED - Pending ReviewAO HV Technical Specialists,Technical,Technical,UNAUTHORISED - Pending Review,AO HV Technical Specialists,PtwsrnX2Sis0TpQPnB,GROUP,WRITER,ao-hvtechspecialists@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-hvtechspecialists@snowyhydro.com.au,True
TechnicalTechnicalUNAUTHORISED - Pending ReviewAO HV Test Engineers,Technical,Technical,UNAUTHORISED - Pending Review,AO HV Test Engineers,PtwsrnX2Sis0TpQPnB,GROUP,WRITER,ao-hvtestengineers@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-hvtestengineers@snowyhydro.com.au,True
TechnicalTechnicalUNAUTHORISED - Pending Technical Specialist ReviewAO HV Test Officers,Technical,Technical,UNAUTHORISED - Pending Technical Specialist Review,AO HV Test Officers,PtwsrnX2Sis0TpQPnB,GROUP,READER,ao-hvtestoff@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-hvtestoff@snowyhydro.com.au,True
TechnicalTechnicalUNAUTHORISED - Pending Technical Specialist ReviewAO HV Technical Specialists,Technical,Technical,UNAUTHORISED - Pending Technical Specialist Review,AO HV Technical Specialists,PtwsrnX2Sis0TpQPnB,GROUP,READER,ao-hvtechspecialists@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-hvtechspecialists@snowyhydro.com.au,True
TechnicalTechnicalUNAUTHORISED - Pending Technical Specialist ReviewAO HV Test Engineers,Technical,Technical,UNAUTHORISED - Pending Technical Specialist Review,AO HV Test Engineers,PtwsrnX2Sis0TpQPnB,GROUP,READER,ao-hvtestengineers@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-hvtestengineers@snowyhydro.com.au,True
TechnicalTechnicalUNAUTHORISED - Pending Technical Specialist ReviewHV Technical Specialist,Technical,Technical,UNAUTHORISED - Pending Technical Specialist Review,HV Technical Specialist,PtwsrnX2Sis0TpQPnB,ROLE,WRITER,QpM25xW000000pVo7u,Pi6VQAw4szhUcyHGpy,ROLE,WRITER,SEqLinl0cOQRUtSRNU,False
TechnicalTechnicalUNAUTHORISED - Pending Technical Specialist Review (Extended)AO HV Test Officers,Technical,Technical,UNAUTHORISED - Pending Technical Specialist Review (Extended),AO HV Test Officers,PtwsrnX2Sis0TpQPnB,GROUP,READER,ao-hvtestoff@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-hvtestoff@snowyhydro.com.au,True
TechnicalTechnicalUNAUTHORISED - Pending Technical Specialist Review (Extended)AO HV Test Engineers,Technical,Technical,UNAUTHORISED - Pending Technical Specialist Review (Extended),AO HV Test Engineers,PtwsrnX2Sis0TpQPnB,GROUP,READER,ao-hvtestengineers@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-hvtestengineers@snowyhydro.com.au,True
TechnicalTechnicalUNAUTHORISED - Pending Technical Specialist Review (Extended)AO HV Technical Specialists,Technical,Technical,UNAUTHORISED - Pending Technical Specialist Review (Extended),AO HV Technical Specialists,PtwsrnX2Sis0TpQPnB,GROUP,WRITER,ao-hvtechspecialists@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-hvtechspecialists@snowyhydro.com.au,True
TechnicalTechnicalUNAUTHORISED - Pending HV Test Engineer ApprovalAO HV Test Officers,Technical,Technical,UNAUTHORISED - Pending HV Test Engineer Approval,AO HV Test Officers,PtwsrnX2Sis0TpQPnB,GROUP,READER,ao-hvtestoff@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-hvtestoff@snowyhydro.com.au,True
TechnicalTechnicalUNAUTHORISED - Pending HV Test Engineer ApprovalAO HV Technical Specialists,Technical,Technical,UNAUTHORISED - Pending HV Test Engineer Approval,AO HV Technical Specialists,PtwsrnX2Sis0TpQPnB,GROUP,READER,ao-hvtechspecialists@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-hvtechspecialists@snowyhydro.com.au,True
TechnicalTechnicalUNAUTHORISED - Pending HV Test Engineer ApprovalAO HV Test Engineers,Technical,Technical,UNAUTHORISED - Pending HV Test Engineer Approval,AO HV Test Engineers,PtwsrnX2Sis0TpQPnB,GROUP,READER,ao-hvtestengineers@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-hvtestengineers@snowyhydro.com.au,True
TechnicalTechnicalUNAUTHORISED - Pending HV Test Engineer ApprovalHV Test Engineer,Technical,Technical,UNAUTHORISED - Pending HV Test Engineer Approval,HV Test Engineer,PtwsrnX2Sis0TpQPnB,ROLE,WRITER,QpM29sF000000xlmMK,Pi6VQAw4szhUcyHGpy,ROLE,WRITER,SEqLrub4h1y6ele2xZ,False
TechnicalTechnicalUNAUTHORISED - Pending HV Test Engineer Approval (Extended)AO HV Test Officers,Technical,Technical,UNAUTHORISED - Pending HV Test Engineer Approval (Extended),AO HV Test Officers,PtwsrnX2Sis0TpQPnB,GROUP,READER,ao-hvtestoff@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-hvtestoff@snowyhydro.com.au,True
TechnicalTechnicalUNAUTHORISED - Pending HV Test Engineer Approval (Extended)AO HV Technical Specialists,Technical,Technical,UNAUTHORISED - Pending HV Test Engineer Approval (Extended),AO HV Technical Specialists,PtwsrnX2Sis0TpQPnB,GROUP,READER,ao-hvtechspecialists@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-hvtechspecialists@snowyhydro.com.au,True
TechnicalTechnicalUNAUTHORISED - Pending HV Test Engineer Approval (Extended)AO HV Test Engineers,Technical,Technical,UNAUTHORISED - Pending HV Test Engineer Approval (Extended),AO HV Test Engineers,PtwsrnX2Sis0TpQPnB,GROUP,WRITER,ao-hvtestengineers@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-hvtestengineers@snowyhydro.com.au,True
TechnicalTechnicalAuthorisedAO HV Test Officers,Technical,Technical,Authorised,AO HV Test Officers,PtwsrnX2Sis0TpQPnB,GROUP,READER,ao-hvtestoff@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-hvtestoff@snowyhydro.com.au,True
TechnicalTechnicalAuthorisedAO HV Technical Specialists,Technical,Technical,Authorised,AO HV Technical Specialists,PtwsrnX2Sis0TpQPnB,GROUP,READER,ao-hvtechspecialists@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-hvtechspecialists@snowyhydro.com.au,True
TechnicalTechnicalAuthorisedAO HV Test Engineers,Technical,Technical,Authorised,AO HV Test Engineers,PtwsrnX2Sis0TpQPnB,GROUP,READER,ao-hvtestengineers@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-hvtestengineers@snowyhydro.com.au,True
TechnicalTechnicalAuthorisedReaders,Technical,Technical,Authorised,Readers,PtwsrnX2Sis0TpQPnB,ROLE,READER,READERS,,,,,False
TechnicalTechnicalAuthorised - OLD not in useAO HV Test Officers,Technical,Technical,Authorised - OLD not in use,AO HV Test Officers,PtwsrnX2Sis0TpQPnB,GROUP,READER,ao-hvtestoff@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-hvtestoff@snowyhydro.com.au,True
TechnicalTechnicalAuthorised - OLD not in useAO HV Technical Specialists,Technical,Technical,Authorised - OLD not in use,AO HV Technical Specialists,PtwsrnX2Sis0TpQPnB,GROUP,READER,ao-hvtechspecialists@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-hvtechspecialists@snowyhydro.com.au,True
TechnicalTechnicalAuthorised - OLD not in useAO HV Test Engineers,Technical,Technical,Authorised - OLD not in use,AO HV Test Engineers,PtwsrnX2Sis0TpQPnB,GROUP,READER,ao-hvtestengineers@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-hvtestengineers@snowyhydro.com.au,True
TechnicalTechnicalAuthorised - OLD not in useReaders,Technical,Technical,Authorised - OLD not in use,Readers,PtwsrnX2Sis0TpQPnB,ROLE,READER,READERS,,,,,False
TechnicalTechnicalCreating Test Procedure - OLD not in use,Technical,Technical,Creating Test Procedure - OLD not in use,,PtwsrnX2Sis0TpQPnB,NOTVISIBLE,NOPERMISSION,,,,,,False
TechnicalTechnicalTechnical Specialist Revision - OLD not in useAO HV Test Officers,Technical,Technical,Technical Specialist Revision - OLD not in use,AO HV Test Officers,PtwsrnX2Sis0TpQPnB,GROUP,READER,ao-hvtestoff@snowyhydro.com.au,,,,,False
TechnicalTechnicalTechnical Specialist Revision - OLD not in useAO HV Technical Specialists,Technical,Technical,Technical Specialist Revision - OLD not in use,AO HV Technical Specialists,PtwsrnX2Sis0TpQPnB,GROUP,READER,ao-hvtechspecialists@snowyhydro.com.au,,,,,False
TechnicalTechnicalTechnical Specialist Revision - OLD not in useAO HV Test Engineers,Technical,Technical,Technical Specialist Revision - OLD not in use,AO HV Test Engineers,PtwsrnX2Sis0TpQPnB,GROUP,READER,ao-hvtestengineers@snowyhydro.com.au,,,,,False
TechnicalTechnicalTechnical Specialist Revision - OLD not in useKapila Nanayakkara,Technical,Technical,Technical Specialist Revision - OLD not in use,Kapila Nanayakkara,PtwsrnX2Sis0TpQPnB,USER,WRITER,kapila.nanayakkara@snowyhydro.com.au,,,,,False
